-->-->-->-->-->-->-->-->-->--> start training ...
GBAF_new: Idx=126, lr=0.000987, snr1=2.975 ,snr2=100.000 ,BS=4192 ,loss=0.0282 ,BER=0.00139 ,num=93
GBAF_new: Idx=127, lr=0.000987, snr1=2.975 ,snr2=100.000 ,BS=4192 ,loss=0.0275 ,BER=0.00128 ,num=86
GBAF_new: Idx=128, lr=0.000987, snr1=2.974 ,snr2=100.000 ,BS=4192 ,loss=0.0269 ,BER=0.00142 ,num=95
GBAF_new: Idx=129, lr=0.000987, snr1=2.974 ,snr2=100.000 ,BS=4192 ,loss=0.0263 ,BER=0.00149 ,num=100
GBAF_new: Idx=130, lr=0.000987, snr1=2.974 ,snr2=100.000 ,BS=4192 ,loss=0.0252 ,BER=0.00106 ,num=71
GBAF_new: Idx=131, lr=0.000987, snr1=2.974 ,snr2=100.000 ,BS=4192 ,loss=0.0254 ,BER=0.0013 ,num=87
GBAF_new: Idx=132, lr=0.000987, snr1=2.974 ,snr2=100.000 ,BS=4192 ,loss=0.0241 ,BER=0.00101 ,num=68
GBAF_new: Idx=133, lr=0.000987, snr1=2.973 ,snr2=100.000 ,BS=4192 ,loss=0.024 ,BER=0.00113 ,num=76
GBAF_new: Idx=134, lr=0.000986, snr1=2.973 ,snr2=100.000 ,BS=4192 ,loss=0.0234 ,BER=0.000969 ,num=65
GBAF_new: Idx=135, lr=0.000986, snr1=2.973 ,snr2=100.000 ,BS=4192 ,loss=0.0234 ,BER=0.00115 ,num=77
GBAF_new: Idx=136, lr=0.000986, snr1=2.973 ,snr2=100.000 ,BS=4192 ,loss=0.0225 ,BER=0.000969 ,num=65
GBAF_new: Idx=137, lr=0.000986, snr1=2.973 ,snr2=100.000 ,BS=4192 ,loss=0.0225 ,BER=0.00124 ,num=83
GBAF_new: Idx=138, lr=0.000986, snr1=2.972 ,snr2=100.000 ,BS=4192 ,loss=0.022 ,BER=0.00107 ,num=72
GBAF_new: Idx=139, lr=0.000986, snr1=2.972 ,snr2=100.000 ,BS=4192 ,loss=0.0212 ,BER=0.00101 ,num=68
GBAF_new: Idx=140, lr=0.000986, snr1=2.972 ,snr2=100.000 ,BS=4192 ,loss=0.0213 ,BER=0.000984 ,num=66
GBAF_new: Idx=141, lr=0.000986, snr1=2.972 ,snr2=100.000 ,BS=4192 ,loss=0.0207 ,BER=0.000924 ,num=62
GBAF_new: Idx=142, lr=0.000986, snr1=2.972 ,snr2=100.000 ,BS=4192 ,loss=0.0204 ,BER=0.000984 ,num=66
GBAF_new: Idx=143, lr=0.000986, snr1=2.971 ,snr2=100.000 ,BS=4192 ,loss=0.0197 ,BER=0.000805 ,num=54
GBAF_new: Idx=144, lr=0.000986, snr1=2.971 ,snr2=100.000 ,BS=4192 ,loss=0.0193 ,BER=0.00076 ,num=51
GBAF_new: Idx=145, lr=0.000985, snr1=2.971 ,snr2=100.000 ,BS=4192 ,loss=0.0191 ,BER=0.000731 ,num=49
GBAF_new: Idx=146, lr=0.000985, snr1=2.971 ,snr2=100.000 ,BS=4192 ,loss=0.0189 ,BER=0.000745 ,num=50
GBAF_new: Idx=147, lr=0.000985, snr1=2.971 ,snr2=100.000 ,BS=4192 ,loss=0.0186 ,BER=0.000895 ,num=60
GBAF_new: Idx=148, lr=0.000985, snr1=2.970 ,snr2=100.000 ,BS=4192 ,loss=0.0183 ,BER=0.000895 ,num=60
GBAF_new: Idx=149, lr=0.000985, snr1=2.970 ,snr2=100.000 ,BS=4192 ,loss=0.0179 ,BER=0.000671 ,num=45
GBAF_new: Idx=150, lr=0.000985, snr1=2.970 ,snr2=100.000 ,BS=4192 ,loss=0.0179 ,BER=0.000745 ,num=50
GBAF_new: Idx=151, lr=0.000985, snr1=2.970 ,snr2=100.000 ,BS=4192 ,loss=0.0172 ,BER=0.000671 ,num=45
GBAF_new: Idx=152, lr=0.000985, snr1=2.970 ,snr2=100.000 ,BS=4192 ,loss=0.0171 ,BER=0.000745 ,num=50
GBAF_new: Idx=153, lr=0.000985, snr1=2.969 ,snr2=100.000 ,BS=4192 ,loss=0.0168 ,BER=0.000626 ,num=42
GBAF_new: Idx=154, lr=0.000985, snr1=2.969 ,snr2=100.000 ,BS=4192 ,loss=0.0166 ,BER=0.000745 ,num=50
GBAF_new: Idx=155, lr=0.000984, snr1=2.969 ,snr2=100.000 ,BS=4192 ,loss=0.0166 ,BER=0.000671 ,num=45
GBAF_new: Idx=156, lr=0.000984, snr1=2.969 ,snr2=100.000 ,BS=4192 ,loss=0.0159 ,BER=0.000686 ,num=46
GBAF_new: Idx=157, lr=0.000984, snr1=2.969 ,snr2=100.000 ,BS=4192 ,loss=0.0159 ,BER=0.000656 ,num=44
GBAF_new: Idx=158, lr=0.000984, snr1=2.968 ,snr2=100.000 ,BS=4192 ,loss=0.0157 ,BER=0.000671 ,num=45
GBAF_new: Idx=159, lr=0.000984, snr1=2.968 ,snr2=100.000 ,BS=4192 ,loss=0.0156 ,BER=0.000611 ,num=41
GBAF_new: Idx=160, lr=0.000984, snr1=2.968 ,snr2=100.000 ,BS=4192 ,loss=0.0154 ,BER=0.000701 ,num=47
GBAF_new: Idx=161, lr=0.000984, snr1=2.968 ,snr2=100.000 ,BS=4192 ,loss=0.0148 ,BER=0.000552 ,num=37
GBAF_new: Idx=162, lr=0.000984, snr1=2.968 ,snr2=100.000 ,BS=4192 ,loss=0.0148 ,BER=0.000641 ,num=43
GBAF_new: Idx=163, lr=0.000984, snr1=2.967 ,snr2=100.000 ,BS=4192 ,loss=0.0145 ,BER=0.000567 ,num=38
GBAF_new: Idx=164, lr=0.000983, snr1=2.967 ,snr2=100.000 ,BS=4192 ,loss=0.0144 ,BER=0.000522 ,num=35
GBAF_new: Idx=165, lr=0.000983, snr1=2.967 ,snr2=100.000 ,BS=4192 ,loss=0.0144 ,BER=0.000567 ,num=38
GBAF_new: Idx=166, lr=0.000983, snr1=2.967 ,snr2=100.000 ,BS=4192 ,loss=0.0144 ,BER=0.000611 ,num=41
GBAF_new: Idx=167, lr=0.000983, snr1=2.967 ,snr2=100.000 ,BS=4192 ,loss=0.0139 ,BER=0.000537 ,num=36
GBAF_new: Idx=168, lr=0.000983, snr1=2.966 ,snr2=100.000 ,BS=4192 ,loss=0.0138 ,BER=0.000552 ,num=37
GBAF_new: Idx=169, lr=0.000983, snr1=2.966 ,snr2=100.000 ,BS=4192 ,loss=0.0137 ,BER=0.000581 ,num=39
GBAF_new: Idx=170, lr=0.000983, snr1=2.966 ,snr2=100.000 ,BS=4192 ,loss=0.0134 ,BER=0.000447 ,num=30
GBAF_new: Idx=171, lr=0.000983, snr1=2.966 ,snr2=100.000 ,BS=4192 ,loss=0.0133 ,BER=0.000626 ,num=42
GBAF_new: Idx=172, lr=0.000983, snr1=2.966 ,snr2=100.000 ,BS=4192 ,loss=0.0133 ,BER=0.000686 ,num=46
GBAF_new: Idx=173, lr=0.000983, snr1=2.965 ,snr2=100.000 ,BS=4192 ,loss=0.0131 ,BER=0.000596 ,num=40
GBAF_new: Idx=174, lr=0.000983, snr1=2.965 ,snr2=100.000 ,BS=4192 ,loss=0.0126 ,BER=0.000477 ,num=32
GBAF_new: Idx=175, lr=0.000982, snr1=2.965 ,snr2=100.000 ,BS=4192 ,loss=0.0131 ,BER=0.000596 ,num=40
GBAF_new: Idx=176, lr=0.000982, snr1=2.965 ,snr2=100.000 ,BS=4192 ,loss=0.0144 ,BER=0.00104 ,num=70
